sym,dir,entry_time,entry_price,exit_time,exit_price,pnl_rub,reason,contracts,go,stop,pattern
SN,L,2025-01-09 15:00:00+08:00,25188.0,2025-01-09 15:15:00+08:00,25135.0,-21.0417659202795,fade,2,5000.0,24999.428571428572,vou
GL,L,2025-01-09 15:10:00+08:00,9091.6,2025-01-09 15:15:00+08:00,9094.5,4.784636367635459,fade,3,5000.0,9075.400000000001,vod
RN,L,2025-01-09 15:10:00+08:00,55815.0,2025-01-09 15:15:00+08:00,55776.0,-6.9873689868314965,fade,2,5000.0,55444.642857142855,vou
Si,L,2025-01-09 15:15:00+08:00,104590.0,2025-01-09 15:20:00+08:00,104693.0,8.863180036332347,fade,9,1000.0,104431.28571428571,vyf
YD,L,2025-01-09 15:30:00+08:00,4004.0,2025-01-09 15:40:00+08:00,3988.0,-79.92007992007991,fade,4,5000.0,3979.0,vod
AL,L,2025-01-09 15:35:00+08:00,5707.0,2025-01-09 15:40:00+08:00,5710.0,5.256702295426669,fade,2,5000.0,5693.0,vou
HY,L,2025-01-09 15:40:00+08:00,5318.0,2025-01-09 15:45:00+08:00,5334.0,27.07784881534411,fade,3,3000.0,5261.214285714285,vou
NG,S,2025-01-09 15:40:00+08:00,3.197,2025-01-09 15:45:00+08:00,3.198,-3.1279324366590235,fade,2,5000.0,3.2569999999999992,vyf
GL,L,2025-01-09 16:05:00+08:00,9080.2,2025-01-09 16:10:00+08:00,9088.0,17.18023832074023,fade,4,5000.0,9062.142857142859,vod
BR,S,2025-01-09 14:30:00+08:00,76.67,2025-01-09 16:20:00+08:00,77.14857142857143,-74.90357562093561,stop,4,3000.0,77.14857142857143,vyf
AL,L,2025-01-09 16:20:00+08:00,5730.0,2025-01-09 16:25:00+08:00,5735.0,8.726003490401396,fade,2,5000.0,5707.142857142857,vou
AF,L,2025-01-09 16:05:00+08:00,6110.0,2025-01-09 16:30:00+08:00,6103.0,-5.728314238952536,fade,1,5000.0,6092.0,sm
AL,L,2025-01-09 16:55:00+08:00,5716.0,2025-01-09 17:00:00+08:00,5710.0,-5.248425472358292,fade,1,5000.0,5690.857142857143,vou
AF,L,2025-01-09 17:00:00+08:00,6106.0,2025-01-09 17:10:00+08:00,6087.428571428572,-15.207524215057683,stop,1,5000.0,6087.428571428572,sm
SV,S,2025-01-09 17:00:00+08:00,31.37,2025-01-09 17:10:00+08:00,31.41,-6.3755180108382445,fade,1,5000.0,31.602142857142855,vod
