ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd,fill_rate
NM,H1,E,2,3394,44.78,0.6152,-0.1549,526.7209,100.0
PD,H1,E,2,3410,44.66,0.6387,-0.1627,566.2164,100.0
RB,H1,E,3,804,44.65,0.9496,-0.0038,9.6675,100.0
RL,H1,E,4,508,44.49,0.7203,-0.1154,70.863,99.6
GAZPF,H1,E,2,1780,44.49,0.9184,-0.0217,74.7714,99.9
RN,H1,E,2,3375,44.47,0.7145,-0.0835,282.5061,100.0
RN,H1,E,4,3375,44.39,0.7501,-0.0945,322.3976,100.0
SBERF,H1,E,2,1806,44.35,0.8508,-0.0275,61.301,100.0
MM,H1,E,4,3318,44.3,0.6217,-0.1774,594.4172,100.0
AL,H1,E,4,3303,44.29,0.6237,-0.1891,635.3685,99.9
RN,H1,E,3,3375,44.27,0.7847,-0.0709,243.5051,100.0
GZ,H1,E,2,3432,44.23,0.7445,-0.075,264.8719,100.0
YD,H1,E,4,1758,44.2,0.6486,-0.1733,310.8742,99.9
RB,H1,E,2,804,44.15,0.9292,-0.0045,9.4129,100.0
AF,H1,E,4,3231,44.13,0.682,-0.1641,540.9163,100.0
BM,H1,E,3,1423,44.13,0.737,-0.1216,190.242,99.8
MG,H1,E,3,3527,44.06,0.6294,-0.176,620.3726,100.0
IB,H1,E,4,1051,44.05,0.6993,-0.1764,194.528,99.9
GK,H1,E,3,3103,44.02,0.6471,-0.15,469.5519,100.0
MG,H1,E,4,3527,43.98,0.6407,-0.1879,662.8572,100.0
YD,H1,E,3,1759,43.95,0.6035,-0.1802,319.5614,100.0
SN,H1,E,3,3370,43.92,0.6316,-0.1665,562.2252,100.0
SN,H1,E,2,3370,43.92,0.6109,-0.156,529.0005,100.0
PD,H1,E,3,3410,43.9,0.682,-0.1635,571.0572,100.0
OJ,H1,E,3,903,43.85,0.8198,-0.1229,121.0554,100.0
ME,H1,E,3,3436,43.83,0.7017,-0.1642,563.1871,100.0
VB,H1,E,2,3194,43.83,1.0316,0.0122,319.3628,100.0
MM,H1,E,3,3318,43.76,0.5881,-0.1775,592.849,100.0
ME,H1,E,2,3436,43.54,0.6543,-0.17,583.0961,100.0
MM,H1,E,2,3318,43.46,0.5538,-0.1734,575.9203,100.0
GK,H1,E,2,3103,43.41,0.6237,-0.1427,446.5241,100.0
FF,H1,E,3,72,43.06,0.3642,-0.7943,51.4242,100.0
RL,H1,E,2,510,42.94,0.7668,-0.0746,53.0405,100.0
IB,H1,E,2,1051,42.82,0.5896,-0.1957,207.6776,99.9
AL,H1,E,2,3304,42.74,0.5634,-0.1878,622.6593,100.0
RL,H1,E,3,509,42.63,0.7017,-0.1121,67.2912,99.8
AF,H1,E,3,3231,42.49,0.6233,-0.1808,590.8301,100.0
AL,H1,E,3,3304,42.4,0.581,-0.1979,667.0468,100.0
IB,H1,E,3,1051,42.25,0.6117,-0.2136,227.6378,99.9
KC,H1,E,3,410,42.2,0.6024,-0.1765,76.3264,100.0
HY,H1,E,4,3566,42.06,0.5754,-0.225,806.118,99.9
SS,H1,E,4,3237,42.01,0.6093,-0.2835,922.0593,100.0
OJ,H1,E,2,903,41.86,0.747,-0.1519,143.6822,100.0
AF,H1,E,2,3231,41.72,0.58,-0.1786,578.2286,100.0
UC,H1,E,3,3068,41.66,0.5487,-0.0425,131.5454,100.0
HY,H1,E,3,3566,41.53,0.5651,-0.2174,776.7407,99.9
MG,H1,E,2,3527,41.45,0.5408,-0.2011,708.9807,100.0
YD,H1,E,2,1759,41.33,0.5505,-0.1882,331.8742,100.0
UC,H1,E,4,3067,41.21,0.5904,-0.0421,130.8925,100.0
HS,H1,E,4,3396,40.99,0.3965,-0.2889,981.3109,100.0
SS,H1,E,3,3237,40.96,0.5759,-0.2765,902.089,100.0
UC,H1,E,2,3068,40.78,0.5002,-0.0453,139.4665,100.0
DX,H1,E,4,3146,40.34,0.4346,-0.226,712.2846,100.0
HY,H1,E,2,3567,40.23,0.4942,-0.2351,839.325,100.0
CE,H1,E,4,1770,40.17,0.4748,-0.25,446.1212,99.9
SP,H1,E,4,2316,40.07,0.5177,-0.6717,1570.9371,100.0
CE,H1,E,3,1771,39.86,0.4479,-0.2446,437.9851,99.9
CE,H1,E,2,1772,39.79,0.4362,-0.229,408.5928,100.0
HS,H1,E,3,3396,39.75,0.3758,-0.2804,953.0765,100.0
DX,H1,E,3,3147,39.75,0.4107,-0.2184,689.8301,100.0
SP,H1,E,3,2316,39.72,0.5519,-0.5495,1288.4203,100.0
NR,H1,E,4,1444,39.4,0.4754,-0.3071,453.985,100.0
SE,H1,E,4,2794,39.37,0.6315,-0.2699,755.2243,100.0
DX,H1,E,2,3147,39.18,0.3521,-0.2362,744.3082,100.0
SF,H1,E,4,1709,39.03,0.3246,-0.8029,1396.7378,99.8
KC,H1,E,2,410,39.02,0.646,-0.1367,59.109,100.0
FF,H1,E,4,72,38.89,0.3251,-1.025,71.5738,100.0
HS,H1,E,2,3397,38.56,0.3493,-0.2727,926.8653,100.0
SS,H1,E,2,3237,38.43,0.4757,-0.3327,1082.3432,100.0
NR,H1,E,2,1444,38.16,0.3936,-0.3054,446.5724,100.0
SE,H1,E,3,2794,38.01,0.5824,-0.2839,793.4155,100.0
SF,H1,E,3,1710,38.01,0.3324,-0.7194,1235.0649,99.9
SP,H1,E,2,2316,37.78,0.4654,-0.6175,1444.94,100.0
NR,H1,E,3,1444,37.6,0.4306,-0.3139,459.4318,100.0
X5,H1,E,4,67,37.31,0.3036,-0.6634,44.8533,100.0
SE,H1,E,2,2794,37.15,0.5591,-0.2654,741.8218,100.0
SF,H1,E,2,1711,37.05,0.3135,-0.6755,1161.1778,99.9
VI,H1,E,4,702,35.61,0.4501,-0.8856,623.0954,100.0
X5,H1,E,2,67,34.33,0.1968,-0.7325,52.7365,100.0
VI,H1,E,3,702,34.33,0.4056,-0.9807,694.0574,100.0
W4,H1,E,4,2252,33.53,0.3564,-0.4799,1077.3974,100.0
W4,H1,E,3,2252,32.37,0.3241,-0.5076,1142.7516,100.0
VI,H1,E,2,702,31.34,0.39,-0.8817,625.2414,100.0
X5,H1,E,3,67,29.85,0.1165,-0.8159,55.4642,100.0
W4,H1,E,2,2252,29.62,0.2741,-0.5397,1215.2566,100.0
