ticker,tf,variant,horizon,n,wr,pf,avg_return,max_dd
HS,H1,B,2,2784,50.72,1.0877,0.0232,62.6105
GZ,5m,B,3,32044,50.69,1.6039,0.0484,25.0831
VB,5m,B,8,28268,50.68,1.8984,0.1538,431.6025
CR,15m,B,6,2309,50.67,1.1453,0.0172,10.1222
MY,H1,B,2,300,50.67,1.3894,0.1209,16.3967
GLDRUBF,30m,B,3,4476,50.67,0.9377,-0.009,52.9916
BM,30m,B,3,2224,50.67,1.1993,0.0524,27.902
VI,15m,C,3,456,50.66,1.2874,0.2237,66.4429
NA,15m,B,3,11242,50.62,1.2099,0.0224,18.9814
OJ,15m,B,6,2080,50.62,1.1212,0.0587,104.4915
GLDRUBF,H1,B,3,2203,50.61,0.9636,-0.007,41.9433
NG,5m,B,3,30026,50.6,2.0706,0.1586,52.9578
GD,30m,B,3,5409,50.6,1.0048,0.0005,22.8307
GK,5m,B,8,26435,50.59,1.7221,0.1046,22.6331
SR,15m,B,2,10455,50.58,1.1652,0.0186,30.3251
CC,30m,B,3,2434,50.58,1.2621,0.0959,59.2043
VB,H1,B,3,2322,50.56,0.7779,-0.1143,453.124
OJ,30m,B,4,1195,50.54,1.1018,0.0567,68.7772
NA,15m,B,4,11242,50.54,1.1797,0.0214,21.6993
HS,30m,B,2,6045,50.54,1.3443,0.0733,33.5178
NA,15m,B,6,11242,50.53,1.1736,0.0244,35.2872
VB,H1,B,2,2322,50.52,0.7873,-0.0965,472.7949
SR,15m,B,4,10455,50.51,1.1231,0.0179,63.0944
IB,5m,B,3,11144,50.51,2.1537,0.142,21.4178
VB,15m,B,3,9495,50.5,1.6308,0.1285,67.6846
KC,15m,B,4,1208,50.5,1.1189,0.0252,18.0635
GZ,5m,B,8,32043,50.47,1.3193,0.0417,46.7907
BM,30m,B,2,2224,50.45,1.1994,0.0437,17.1609
NM,H1,B,3,2534,50.43,1.1129,0.0403,51.8741
GK,15m,B,4,9889,50.43,1.413,0.0861,101.1438
X5,5m,B,3,579,50.43,4.692,0.4528,7.6636
GLDRUBF,30m,B,2,4476,50.42,0.9118,-0.0106,54.0467
Eu,30m,B,2,5427,50.4,0.9714,-0.0032,63.0237
SR,30m,B,4,5278,50.4,1.0667,0.0127,57.7046
GZ,5m,B,6,32043,50.39,1.4099,0.0457,48.3227
BM,30m,B,4,2223,50.38,1.1587,0.0466,46.6693
GLDRUBF,15m,B,4,9307,50.37,0.9857,-0.0016,28.9398
GK,15m,B,6,9889,50.35,1.3423,0.0845,93.4171
GD,15m,B,6,11309,50.35,1.0344,0.0036,23.602
VB,5m,B,6,28269,50.35,2.0321,0.1616,430.9385
CH,30m,B,2,145,50.34,1.6523,0.3675,12.1495
GLDRUBF,5m,B,6,30413,50.34,1.0231,0.0018,27.7591
GAZPF,5m,B,6,17309,50.33,1.0476,0.0057,48.7197
GLDRUBF,5m,B,3,30413,50.3,1.0312,0.0017,35.0177
SR,5m,B,6,33470,50.3,1.3642,0.0333,28.0367
CC,30m,B,2,2434,50.29,1.2587,0.0823,48.7139
OJ,30m,B,3,1195,50.29,1.128,0.0606,68.8873
GK,30m,B,4,4755,50.28,1.2246,0.0605,34.7929
MN,H1,B,4,366,50.27,1.2905,0.0768,11.8786
GLDRUBF,15m,B,6,9307,50.27,0.9962,-0.0005,38.3943
X5,5m,B,4,579,50.26,3.1099,0.3293,6.2948
HY,5m,C,6,10664,50.25,0.8941,-0.0291,360.144
MN,30m,B,3,621,50.24,1.2448,0.0434,8.1657
RI,30m,B,2,5537,50.24,0.8866,-0.0185,123.3257
OJ,H1,B,3,649,50.23,1.1387,0.0885,54.9152
MX,5m,B,8,32744,50.23,1.2027,0.0186,60.7839
GLDRUBF,5m,B,8,30411,50.23,1.0193,0.0017,37.9775
GK,5m,B,6,26435,50.23,1.8087,0.1024,17.6464
NA,15m,B,2,11242,50.23,1.2658,0.0236,14.7387
GLDRUBF,5m,B,4,30413,50.22,1.0333,0.0021,31.9486
IB,15m,B,2,3592,50.22,1.3491,0.0745,42.6573
MC,5m,B,8,33004,50.22,1.2023,0.0186,60.7839
USDRUBF,30m,B,2,5541,50.21,0.9424,-0.005,35.5599
Si,30m,B,3,5668,50.21,0.9852,-0.0019,57.2131
SV,30m,B,2,5202,50.21,1.1248,0.0235,25.5186
SR,5m,B,4,33472,50.19,1.4888,0.036,21.6853
SF,5m,C,3,4994,50.18,0.4168,-1.736,8751.0236
X5,15m,B,2,287,50.17,1.6294,0.1788,23.2808
LK,H1,B,2,2527,50.14,1.027,0.0061,65.1466
MC,5m,B,3,33005,50.14,1.2916,0.0176,28.8217
MX,5m,B,3,32748,50.13,1.2881,0.0175,28.8217
Eu,H1,B,3,2514,50.12,0.8921,-0.0205,61.2491
SV,H1,B,3,2578,50.12,0.9894,-0.0036,60.8201
IB,H1,B,4,808,50.12,1.0295,0.0132,45.7346
GK,30m,B,3,4755,50.12,1.26,0.0625,62.2941
GK,H1,B,3,2293,50.11,1.0593,0.0195,56.9884
GLDRUBF,30m,B,4,4476,50.11,0.9775,-0.0036,27.5897
VB,5m,B,4,28269,50.1,2.1895,0.1602,428.2437
GK,5m,B,4,26435,50.09,1.8728,0.093,21.2333
SBERF,15m,B,4,5793,50.08,0.9766,-0.0028,50.7897
GLDRUBF,15m,B,2,9307,50.07,0.9619,-0.003,39.6803
NG,H1,B,4,2505,50.06,1.0288,0.0169,192.7163
SR,30m,B,3,5278,50.06,1.0644,0.011,65.9651
SBERF,5m,B,4,18406,50.05,1.021,0.0014,24.117
NA,5m,B,8,35217,50.04,1.351,0.0303,50.665
MC,30m,B,2,5379,50.03,0.9547,-0.0057,86.7006
GLDRUBF,15m,B,3,9307,50.02,0.955,-0.0044,50.4752
USDRUBF,30m,B,3,5541,50.01,0.93,-0.0074,56.8702
SR,5m,B,8,33469,50.01,1.2885,0.0301,51.1888
X5,H1,B,3,56,50.0,1.0764,0.0253,11.5831
X5,H1,B,2,56,50.0,1.3317,0.0831,8.9431
MX,30m,B,2,5332,50.0,0.9538,-0.0058,86.7006
GD,15m,B,3,11310,49.96,0.9847,-0.0012,48.5051
GD,15m,B,4,11310,49.96,0.9863,-0.0012,34.0025
NG,15m,B,4,10402,49.96,1.1152,0.0379,108.2707
GK,15m,B,3,9889,49.96,1.4761,0.0889,32.4429
CC,H1,B,3,1111,49.95,1.0633,0.0343,48.266
NG,15m,B,3,10402,49.94,1.0768,0.0232,172.9483
Si,H1,B,2,2535,49.94,0.9976,-0.0003,26.7878
HY,5m,C,8,11282,49.94,0.9134,-0.0255,336.75
MC,30m,B,4,5379,49.93,0.9025,-0.017,119.435
MX,5m,B,6,32745,49.92,1.2464,0.02,55.1247
