ticker,entry_time,exit_time,entry,exit,contracts,pnl,commission,net_pnl
CC,2026-03-04 09:10:00,2026-03-04 09:25:00,238.4,238.7,1,30,2,28
CC,2026-03-04 12:15:00,2026-03-04 12:30:00,244.4,243.1,1,-130,2,-132
CC,2026-03-05 15:35:00,2026-03-05 16:05:00,242.3,243.3,1,100,2,98
NR,2026-03-06 14:50:00,2026-03-06 16:15:00,17330.0,17420.0,1,9000,2,8998
NR,2026-03-06 15:05:00,2026-03-06 16:15:00,17940.0,17420.0,1,-52000,2,-52002
CC,2026-03-10 09:25:00,2026-03-10 09:40:00,257.0,258.5,1,150,2,148
NR,2026-03-11 13:20:00,2026-03-11 14:15:00,17295.0,18250.0,1,95500,2,95498
NR,2026-03-11 16:55:00,2026-03-11 17:35:00,17535.0,17550.0,1,1500,2,1498
CC,2026-03-11 20:30:00,2026-03-11 20:45:00,267.5,311.0,1,4350,2,4348
NR,2026-03-12 09:40:00,2026-03-12 10:30:00,17580.0,17650.0,1,7000,2,6998
IB,2026-03-12 17:00:00,2026-03-12 17:40:00,41.93,40.16,1,-177,2,-179
NR,2026-03-17 15:10:00,2026-03-17 16:15:00,17760.0,17750.0,1,-1000,2,-1002
CC,2026-03-18 12:35:00,2026-03-18 12:50:00,313.0,314.2,1,120,2,118
NR,2026-03-18 16:10:00,2026-03-18 19:25:00,17500.0,17410.0,1,-9000,2,-9002
CC,2026-03-19 13:10:00,2026-03-19 13:25:00,311.2,311.0,1,-20,2,-22
IB,2026-03-24 16:40:00,2026-03-24 17:40:00,41.31,41.08,1,-23,2,-25
NR,2026-03-25 18:25:00,2026-03-26 10:00:00,17755.0,17770.0,1,1500,2,1498
CC,2026-03-26 09:20:00,2026-03-26 09:35:00,294.4,294.6,1,20,2,18
IB,2026-03-31 12:50:00,2026-03-31 13:50:00,39.17,39.46,1,29,2,27
NR,2026-03-31 16:15:00,2026-03-31 18:10:00,17270.0,17390.0,1,12000,2,11998
CC,2026-04-02 09:10:00,2026-04-02 09:25:00,296.2,295.9,1,-30,2,-32
CC,2026-04-03 09:10:00,2026-04-03 09:25:00,285.0,285.8,1,80,2,78
IB,2026-04-03 09:25:00,2026-04-03 10:25:00,38.97,38.98,1,1,2,-1
CC,2026-04-03 11:35:00,2026-04-03 11:50:00,285.5,285.4,1,-10,2,-12
CC,2026-04-03 12:05:00,2026-04-03 12:20:00,284.6,285.1,1,50,2,48
IB,2026-04-06 09:10:00,2026-04-06 10:10:00,40.23,40.51,1,28,2,26
IB,2026-04-06 09:15:00,2026-04-06 10:15:00,40.46,40.51,1,5,2,3
CC,2026-04-06 14:35:00,2026-04-06 14:50:00,283.0,283.1,1,10,2,8
CC,2026-04-08 13:40:00,2026-04-08 13:55:00,270.8,271.4,1,60,2,58
IB,2026-04-08 20:45:00,2026-04-09 10:00:00,40.97,41.27,1,30,2,28
NR,2026-04-10 17:30:00,2026-04-13 09:15:00,17240.0,17635.0,1,39500,2,39498
NR,2026-04-10 18:20:00,2026-04-13 09:45:00,17255.0,17635.0,1,38000,2,37998
CC,2026-04-14 09:10:00,2026-04-14 09:25:00,273.0,271.2,1,-180,2,-182
