BR: 102870 M1 bars
CR: 101943 M1 bars
GD: 102880 M1 bars
RN: 66364 M1 bars
Si: 101950 M1 bars
MM: 89294 M1 bars
GZ: 101269 M1 bars
NG: 102970 M1 bars

=== BR 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  4%     +72.8%   15.30%   1.53   54.9%   233 ✅
  5%     +98.2%   19.00%   1.51   54.9%   233 ✅
  7%    +161.9%   25.91%   1.48   54.9%   233
 10%    +284.0%   35.43%   1.44   54.9%   233
 15%    +585.5%   48.80%   1.38   54.9%   233

=== MM 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%     +11.4%    2.45%   1.97   56.1%   198 ✅
  2%     +30.9%    5.53%   1.94   56.1%   198 ✅
  3%     +52.8%    8.94%   1.90   56.1%   198 ✅
  4%     +79.5%   12.57%   1.87   56.1%   198 ✅
  5%    +112.1%   15.76%   1.87   56.1%   198 ✅
  7%    +187.4%   21.63%   1.83   56.1%   198
 10%    +343.2%   30.06%   1.78   56.1%   198
 15%    +782.7%   42.14%   1.71   56.1%   198

=== GZ 3мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +4.8%    2.10%   1.45   50.8%   299 ✅
  2%      +9.7%    4.09%   1.45   50.8%   299 ✅
  3%     +16.0%    6.66%   1.44   50.8%   299 ✅
  4%     +22.3%    8.85%   1.45   50.8%   299 ✅
  5%     +29.1%   10.96%   1.45   50.8%   299 ✅
  7%     +43.4%   15.31%   1.44   50.8%   299 ✅
 10%     +66.2%   21.34%   1.43   50.8%   299
 15%    +111.2%   30.64%   1.42   50.8%   299

=== GZ 5мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +1.9%    2.27%   1.12   46.6%   421 ✅
  2%      +3.8%    4.43%   1.12   46.6%   421 ✅
  3%      +5.6%    7.04%   1.11   46.6%   421 ✅
  4%      +8.0%    9.45%   1.11   46.6%   421 ✅
  5%     +10.2%   11.84%   1.11   46.6%   421 ✅
  7%     +13.6%   16.32%   1.10   46.6%   421 ✅
 10%     +20.0%   22.76%   1.10   46.6%   421
 15%     +28.2%   32.50%   1.09   46.6%   421

=== GZ 10мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +0.5%    1.94%   1.04   48.0%   350 ✅
  2%      +1.0%    3.85%   1.04   48.0%   350 ✅
  3%      +1.1%    5.74%   1.03   48.0%   350 ✅
  4%      +1.8%    7.86%   1.04   48.0%   350 ✅
  5%      +2.2%    9.91%   1.03   48.0%   350 ✅
  7%      +2.7%   13.86%   1.03   48.0%   350 ✅
 10%      +3.6%   19.35%   1.03   48.0%   350 ✅
 15%      +4.0%   27.92%   1.02   48.0%   350

=== GZ 15мин ===
risk%  ret%     MDD    PF     WR    Trades
  1%      +3.3%    2.22%   1.39   51.3%   298 ✅
  2%      +6.6%    4.22%   1.39   51.3%   298 ✅
  3%     +10.7%    6.93%   1.36   51.3%   298 ✅
  4%     +14.2%    9.67%   1.33   51.3%   298 ✅
  5%     +19.0%   11.88%   1.34   51.3%   298 ✅
  7%     +27.1%   16.61%   1.31   51.3%   298 ✅
 10%     +40.4%   23.21%   1.29   51.3%   298
 15%     +65.4%   32.91%   1.25   51.3%   298

