entry_time,session,dow,hour,month,adx,atr_pct,atr_percentile,di_spread,close,divergence,dir,ret_pct,pnl_net,bars_held,reason,entry_px,exit_px
2026-04-21 15:35:00+08:00,mid,1,15.58,4,64.33,0.321,100.0,42.22,93.47,-3.1339,LONG,-0.12838343853643366,-78.07339917867232,10,time_stop,93.47,93.35
2026-04-21 17:35:00+08:00,close,1,17.58,4,54.49,0.3604,96.0,-15.55,93.75,-2.1794,LONG,-0.28799999999999576,-172.54150921470574,10,time_stop,93.75,93.48
2026-04-21 18:30:00+08:00,close,1,18.5,4,31.53,0.5079,99.0,-6.31,93.39,2.4464,SHORT,1.1029018096155918,650.1406680344465,10,time_stop,93.39,92.36
2026-04-21 19:20:00+08:00,close,1,19.33,4,43.77,0.5916,100.0,-20.04,92.36,-3.8586,LONG,1.7973148549155442,1066.5863827145956,10,time_stop,92.36,94.02
2026-04-21 20:10:00+08:00,close,1,20.17,4,45.92,0.9671,100.0,-21.44,94.02,-2.6947,LONG,0.24462880238247608,144.74766808901384,10,time_stop,94.02,94.25
2026-04-22 09:15:00+08:00,open,2,9.25,4,28.19,0.7427,86.0,-10.73,94.25,-2.8384,LONG,0.41379310344827647,246.5252486157559,10,time_stop,94.25,94.64
2026-04-22 11:25:00+08:00,open,2,11.42,4,26.41,0.248,5.0,14.38,94.48,-3.1451,LONG,-0.3810330228619807,-231.3191275859603,10,time_stop,94.48,94.12
2026-04-22 12:15:00+08:00,mid,2,12.25,4,26.33,0.2641,13.0,-17.42,94.12,-3.5402,LONG,0.6162345941351448,368.15900399568216,10,time_stop,94.12,94.7
2026-04-22 13:05:00+08:00,mid,2,13.08,4,36.68,0.3696,55.0,-16.79,94.7,-2.0593,LONG,0.897571277719107,538.8042062438078,10,time_stop,94.7,95.55
2026-04-22 14:50:00+08:00,mid,2,14.83,4,29.34,0.3663,47.0,21.57,96.32,-2.0565,LONG,0.3633720930232647,217.91770741682552,10,time_stop,96.32,96.67
2026-04-22 15:40:00+08:00,mid,2,15.67,4,21.83,0.4603,63.0,11.68,96.67,-4.44,LONG,-0.051722354401569415,-33.35942481370325,10,time_stop,96.67,96.62
2026-04-22 16:30:00+08:00,mid,2,16.5,4,21.01,0.2691,16.0,7.38,96.62,-5.5016,LONG,-0.07244876837094534,-45.91383001003085,10,time_stop,96.62,96.55
2026-04-22 17:20:00+08:00,close,2,17.33,4,22.29,0.3536,61.0,1.43,96.55,-3.6132,LONG,0.04142931123770715,23.10229945413358,10,time_stop,96.55,96.59
2026-04-22 18:10:00+08:00,close,2,18.17,4,23.57,0.2603,15.0,-5.34,96.59,-4.3223,LONG,-0.041412154467342636,-27.096687631076506,10,time_stop,96.59,96.55
2026-04-22 19:05:00+08:00,close,2,19.08,4,15.67,0.1894,1.0,-10.0,96.55,-3.5683,LONG,-0.2900051786639059,-177.71030421262375,10,time_stop,96.55,96.27
2026-04-22 19:55:00+08:00,close,2,19.92,4,46.7,0.1744,2.0,-19.14,96.27,-2.7967,LONG,0.28046120286694737,167.67853120938506,10,time_stop,96.27,96.54
2026-04-22 20:45:00+08:00,close,2,20.75,4,43.58,0.1391,3.0,19.66,96.54,-2.8796,LONG,2.1752641392168988,1315.8546786442087,10,time_stop,96.54,98.64
2026-04-23 09:50:00+08:00,open,3,9.83,4,46.07,0.4482,86.0,28.38,98.64,2.8076,SHORT,0.2737226277372223,165.632088228476,10,time_stop,98.64,98.37
2026-04-23 10:40:00+08:00,open,3,10.67,4,27.38,0.2389,25.0,6.33,98.37,2.6325,SHORT,0.4777879434787017,291.00061641575917,10,time_stop,98.37,97.9
2026-04-23 12:00:00+08:00,mid,3,12.0,4,46.65,0.3648,80.0,-25.5,97.31,-2.0735,LONG,0.38022813688213397,231.72587801695946,10,time_stop,97.31,97.68
