mode,ticker,variant,W,T,hold,trades,wr,total_ret_pct,max_dd_pct,calmar,avg_win,avg_loss,wr_open,wr_mid,wr_close
B_post_recovery,AL,2,20,1.0,20,4349,49.25,-508.726,534.1891,-0.9523,0.6235,-0.8356,49.36585365853659,47.15447154471545,66.66666666666666
B_post_recovery,AL,2,20,1.5,5,13891,48.37,-296.0696,437.7514,-0.6763,0.3754,-0.3929,48.262195121951216,49.80289093298292,80.0
B_post_recovery,AL,2,20,1.5,10,7902,48.27,-492.4002,550.863,-0.8939,0.4808,-0.569,48.30123060460139,47.867298578199055,25.0
B_post_recovery,AL,2,20,1.5,20,4281,50.32,-316.887,379.5033,-0.835,0.6474,-0.8046,50.32051282051282,49.09090909090909,100.0
B_post_recovery,AL,2,20,2.0,5,13157,48.18,-274.4253,375.0725,-0.7317,0.3807,-0.3942,48.06674153698059,49.780380673499266,87.5
B_post_recovery,AL,2,20,2.0,10,7617,48.86,-410.1554,508.8336,-0.8061,0.4715,-0.5559,48.905817174515235,48.08184143222506,50.0
B_post_recovery,AL,2,20,2.0,20,4212,49.34,-331.8069,417.2085,-0.7953,0.6507,-0.7891,49.47447447447447,45.497630331753555,100.0
B_post_recovery,AL,2,20,2.5,5,12217,48.2,-356.9406,418.4346,-0.853,0.3654,-0.3963,47.96426730802268,52.304964539007095,81.81818181818183
B_post_recovery,AL,2,20,2.5,10,7233,48.51,-358.405,464.4703,-0.7716,0.4686,-0.5378,48.61373203658005,46.44970414201183,50.0
B_post_recovery,AL,2,20,2.5,20,4096,48.54,-241.191,336.998,-0.7157,0.6697,-0.746,48.6916367367881,44.329896907216494,100.0
B_post_recovery,AL,2,40,1.0,5,14101,47.99,-386.171,426.2725,-0.9059,0.3795,-0.4029,47.90595706078016,49.36562860438293,33.33333333333333
B_post_recovery,AL,2,40,1.0,10,7938,48.17,-527.09,551.1661,-0.9563,0.4781,-0.5726,48.35032188841202,45.168067226890756,66.66666666666666
B_post_recovery,AL,2,40,1.0,20,4283,49.45,-403.1892,457.9293,-0.8805,0.6444,-0.8167,49.54128440366973,48.36065573770492,33.33333333333333
B_post_recovery,AL,2,40,1.5,5,13258,47.81,-352.6672,403.3624,-0.8743,0.3753,-0.3948,47.82608695652174,47.524752475247524,57.14285714285714
B_post_recovery,AL,2,40,1.5,10,7578,48.07,-404.8953,486.6169,-0.8321,0.4929,-0.5592,48.392079764078076,42.92035398230089,60.0
B_post_recovery,AL,2,40,1.5,20,4166,49.33,-393.7971,472.9846,-0.8326,0.6515,-0.8208,49.542217700915565,45.689655172413794,50.0
B_post_recovery,AL,2,40,2.0,5,12310,47.89,-514.9336,550.2918,-0.9357,0.3608,-0.4118,47.81031355273387,48.89502762430939,66.66666666666666
B_post_recovery,AL,2,40,2.0,10,7127,48.49,-500.8276,526.5231,-0.9512,0.4803,-0.5886,48.74813710879285,44.146341463414636,57.14285714285714
B_post_recovery,AL,2,40,2.0,20,3996,48.8,-418.8551,479.6549,-0.8732,0.6514,-0.8256,49.311805187930126,39.63133640552996,100.0
B_post_recovery,AL,2,40,2.5,5,11217,48.07,-425.8318,465.8481,-0.9141,0.3678,-0.4135,48.04838862111331,48.57142857142857,33.33333333333333
B_post_recovery,AL,2,40,2.5,10,6610,48.58,-389.4883,428.4577,-0.909,0.4877,-0.5753,48.726165678577146,45.85635359116022,57.14285714285714
B_post_recovery,AL,2,40,2.5,20,3791,49.83,-393.4103,434.9845,-0.9044,0.6086,-0.8113,50.09687240520343,44.252873563218394,50.0
B_post_recovery,AL,3,10,1.0,5,14135,47.55,-456.1354,493.3201,-0.9246,0.3639,-0.3914,47.582467239042025,47.16981132075472,33.33333333333333
